Rank,Probability,Label,code,Occupation
379.,0.68,na,29-2021,Dental HygienistsDental Hygienists
380.,0.69,1,53-3033,Light Truck or Delivery Services DriversLight Truck or Delivery Services Drivers
381.,0.69,0,37-2012,Maids and Housekeeping CleanersMaids and Housekeeping Cleaners
382.,0.69,na,51-9122,PaintersPainters Transportation Equipment
383.,0.7,na,43-4061,Eligibility InterviewersEligibility Interviewers Government Programs
384.,0.7,na,49-3093,Tire Repairers and ChangersTire Repairers and Changers
385.,0.7,na,51-3092,Food BatchmakersFood Batchmakers
386.,0.7,na,49-2091,Avionics TechniciansAvionics Technicians
387.,0.71,na,49-3011,Aircraft Mechanics and Service TechniciansAircraft Mechanics and Service Technicians
388.,0.71,na,53-2022,Airfield Operations SpecialistsAirfield Operations Specialists
389.,0.71,na,51-8093,Petroleum Pump System OperatorsPetroleum Pump System Operators Refinery Operators and Gaugers
390.,0.71,na,47-4799,Construction and Related WorkersConstruction and Related Workers All Other
391.,0.71,na,29-2081,OpticiansOpticians Dispensing
392.,0.71,na,51-6011,Laundry and Dry-Cleaning WorkersLaundry and Dry-Cleaning Workers
393.,0.72,na,39-3091,Amusement and Recreation AttendantsAmusement and Recreation Attendants
394.,0.72,na,31-9095,Pharmacy AidesPharmacy Aides
395.,0.72,na,47-3016,Helpers-RoofersHelpers-Roofers
396.,0.72,na,53-7121,Tank CarTank Car Truck and Ship Loaders
397.,0.72,na,49-9031,Home Appliance RepairersHome Appliance Repairers
398.,0.72,na,47-2031,CarpentersCarpenters
399.,0.72,na,27-3012,Public Address System and Other AnnouncersPublic Address System and Other Announcers
400.,0.73,na,51-6063,Textile Knitting and Weaving Machine SettersTextile Knitting and Weaving Machine Setters Operators and Tenders
401.,0.73,na,11-3011,Administrative Services ManagersAdministrative Services Managers
402.,0.73,na,47-2121,GlaziersGlaziers
403.,0.73,na,51-2021,Coil WindersCoil Winders Tapers and Finishers
404.,0.73,na,49-3031,Bus and Truck Mechanics and Diesel Engine SpecialistsBus and Truck Mechanics and Diesel Engine Specialists
405.,0.74,na,49-2011,ComputerComputer Automated Teller and Office Machine Repairers
406.,0.74,na,39-9021,Personal Care AidesPersonal Care Aides
407.,0.74,na,27-4012,Broadcast TechniciansBroadcast Technicians
408.,0.74,na,47-3013,Helpers-ElectriciansHelpers-Electricians
409.,0.75,na,11-9131,Postmasters and Mail SuperintendentsPostmasters and Mail Superintendents
410.,0.75,na,47-2044,Tile and Marble SettersTile and Marble Setters
411.,0.75,na,47-2141,PaintersPainters Construction and Maintenance
412.,0.75,na,53-6061,Transportation AttendantsTransportation Attendants Except Flight Attendants
413.,0.75,1,17-3022,Civil Engineering TechniciansCivil Engineering Technicians
414.,0.75,na,49-3041,Farm Equipment Mechanics and Service TechniciansFarm Equipment Mechanics and Service Technicians
